"target_advantage","slackness","patron_surplus","thief_compensation","outside_option","gross_hired_loot"
1.05,0.45,0.1461675,0.1986825,0.0863125,0.37485
1.1,0.45,0.155985,0.206715,0.0863125,0.3927
1.15,0.45,0.1658025,0.2147475,0.0863125,0.41055
1.2,0.45,0.17562,0.22278,0.0863125,0.4284
1.25,0.45,0.1854375,0.2308125,0.0863125,0.44625
1.3,0.45,0.195255,0.238845,0.0863125,0.4641
1.35,0.45,0.2050725,0.2468775,0.0863125,0.48195
1.4,0.45,0.21489,0.25491,0.0863125,0.4998
1.45,0.45,0.2247075,0.2629425,0.0863125,0.51765
1.5,0.45,0.234525,0.270975,0.0863125,0.5355
1.55,0.45,0.2443425,0.2790075,0.0863125,0.55335
1.6,0.45,0.25416,0.28704,0.0863125,0.5712
1.65,0.45,0.2639775,0.2950725,0.0863125,0.58905
1.7,0.45,0.273795,0.303105,0.0863125,0.6069
1.05,0.5,0.1461675,0.1986825,0.098125,0.37485
1.1,0.5,0.155985,0.206715,0.098125,0.3927
1.15,0.5,0.1658025,0.2147475,0.098125,0.41055
1.2,0.5,0.17562,0.22278,0.098125,0.4284
1.25,0.5,0.1854375,0.2308125,0.098125,0.44625
1.3,0.5,0.195255,0.238845,0.098125,0.4641
1.35,0.5,0.2050725,0.2468775,0.098125,0.48195
1.4,0.5,0.21489,0.25491,0.098125,0.4998
1.45,0.5,0.2247075,0.2629425,0.098125,0.51765
1.5,0.5,0.234525,0.270975,0.098125,0.5355
1.55,0.5,0.2443425,0.2790075,0.098125,0.55335
1.6,0.5,0.25416,0.28704,0.098125,0.5712
1.65,0.5,0.2639775,0.2950725,0.098125,0.58905
1.7,0.5,0.273795,0.303105,0.098125,0.6069
1.05,0.55,0.1461675,0.1986825,0.1099375,0.37485
1.1,0.55,0.155985,0.206715,0.1099375,0.3927
1.15,0.55,0.1658025,0.2147475,0.1099375,0.41055
1.2,0.55,0.17562,0.22278,0.1099375,0.4284
1.25,0.55,0.1854375,0.2308125,0.1099375,0.44625
1.3,0.55,0.195255,0.238845,0.1099375,0.4641
1.35,0.55,0.2050725,0.2468775,0.1099375,0.48195
1.4,0.55,0.21489,0.25491,0.1099375,0.4998
1.45,0.55,0.2247075,0.2629425,0.1099375,0.51765
1.5,0.55,0.234525,0.270975,0.1099375,0.5355
1.55,0.55,0.2443425,0.2790075,0.1099375,0.55335
1.6,0.55,0.25416,0.28704,0.1099375,0.5712
1.65,0.55,0.2639775,0.2950725,0.1099375,0.58905
1.7,0.55,0.273795,0.303105,0.1099375,0.6069
1.05,0.6,0.1461675,0.1986825,0.12175,0.37485
1.1,0.6,0.155985,0.206715,0.12175,0.3927
1.15,0.6,0.1658025,0.2147475,0.12175,0.41055
1.2,0.6,0.17562,0.22278,0.12175,0.4284
1.25,0.6,0.1854375,0.2308125,0.12175,0.44625
1.3,0.6,0.195255,0.238845,0.12175,0.4641
1.35,0.6,0.2050725,0.2468775,0.12175,0.48195
1.4,0.6,0.21489,0.25491,0.12175,0.4998
1.45,0.6,0.2247075,0.2629425,0.12175,0.51765
1.5,0.6,0.234525,0.270975,0.12175,0.5355
1.55,0.6,0.2443425,0.2790075,0.12175,0.55335
1.6,0.6,0.25416,0.28704,0.12175,0.5712
1.65,0.6,0.2639775,0.2950725,0.12175,0.58905
1.7,0.6,0.273795,0.303105,0.12175,0.6069
1.05,0.65,0.1461675,0.1986825,0.1335625,0.37485
1.1,0.65,0.155985,0.206715,0.1335625,0.3927
1.15,0.65,0.1658025,0.2147475,0.1335625,0.41055
1.2,0.65,0.17562,0.22278,0.1335625,0.4284
1.25,0.65,0.1854375,0.2308125,0.1335625,0.44625
1.3,0.65,0.195255,0.238845,0.1335625,0.4641
1.35,0.65,0.2050725,0.2468775,0.1335625,0.48195
1.4,0.65,0.21489,0.25491,0.1335625,0.4998
1.45,0.65,0.2247075,0.2629425,0.1335625,0.51765
1.5,0.65,0.234525,0.270975,0.1335625,0.5355
1.55,0.65,0.2443425,0.2790075,0.1335625,0.55335
1.6,0.65,0.25416,0.28704,0.1335625,0.5712
1.65,0.65,0.2639775,0.2950725,0.1335625,0.58905
1.7,0.65,0.273795,0.303105,0.1335625,0.6069
1.05,0.7,0.1461675,0.1986825,0.145375,0.37485
1.1,0.7,0.155985,0.206715,0.145375,0.3927
1.15,0.7,0.1658025,0.2147475,0.145375,0.41055
1.2,0.7,0.17562,0.22278,0.145375,0.4284
1.25,0.7,0.1854375,0.2308125,0.145375,0.44625
1.3,0.7,0.195255,0.238845,0.145375,0.4641
1.35,0.7,0.2050725,0.2468775,0.145375,0.48195
1.4,0.7,0.21489,0.25491,0.145375,0.4998
1.45,0.7,0.2247075,0.2629425,0.145375,0.51765
1.5,0.7,0.234525,0.270975,0.145375,0.5355
1.55,0.7,0.2443425,0.2790075,0.145375,0.55335
1.6,0.7,0.25416,0.28704,0.145375,0.5712
1.65,0.7,0.2639775,0.2950725,0.145375,0.58905
1.7,0.7,0.273795,0.303105,0.145375,0.6069
1.05,0.75,0.1461675,0.1986825,0.1571875,0.37485
1.1,0.75,0.155985,0.206715,0.1571875,0.3927
1.15,0.75,0.1658025,0.2147475,0.1571875,0.41055
1.2,0.75,0.17562,0.22278,0.1571875,0.4284
1.25,0.75,0.1854375,0.2308125,0.1571875,0.44625
1.3,0.75,0.195255,0.238845,0.1571875,0.4641
1.35,0.75,0.2050725,0.2468775,0.1571875,0.48195
1.4,0.75,0.21489,0.25491,0.1571875,0.4998
1.45,0.75,0.2247075,0.2629425,0.1571875,0.51765
1.5,0.75,0.234525,0.270975,0.1571875,0.5355
1.55,0.75,0.2443425,0.2790075,0.1571875,0.55335
1.6,0.75,0.25416,0.28704,0.1571875,0.5712
1.65,0.75,0.2639775,0.2950725,0.1571875,0.58905
1.7,0.75,0.273795,0.303105,0.1571875,0.6069
1.05,0.8,0.1461675,0.1986825,0.169,0.37485
1.1,0.8,0.155985,0.206715,0.169,0.3927
1.15,0.8,0.1658025,0.2147475,0.169,0.41055
1.2,0.8,0.17562,0.22278,0.169,0.4284
1.25,0.8,0.1854375,0.2308125,0.169,0.44625
1.3,0.8,0.195255,0.238845,0.169,0.4641
1.35,0.8,0.2050725,0.2468775,0.169,0.48195
1.4,0.8,0.21489,0.25491,0.169,0.4998
1.45,0.8,0.2247075,0.2629425,0.169,0.51765
1.5,0.8,0.234525,0.270975,0.169,0.5355
1.55,0.8,0.2443425,0.2790075,0.169,0.55335
1.6,0.8,0.25416,0.28704,0.169,0.5712
1.65,0.8,0.2639775,0.2950725,0.169,0.58905
1.7,0.8,0.273795,0.303105,0.169,0.6069
1.05,0.85,0.1461675,0.1986825,0.1808125,0.37485
1.1,0.85,0.155985,0.206715,0.1808125,0.3927
1.15,0.85,0.1658025,0.2147475,0.1808125,0.41055
1.2,0.85,0.17562,0.22278,0.1808125,0.4284
1.25,0.85,0.1854375,0.2308125,0.1808125,0.44625
1.3,0.85,0.195255,0.238845,0.1808125,0.4641
1.35,0.85,0.2050725,0.2468775,0.1808125,0.48195
1.4,0.85,0.21489,0.25491,0.1808125,0.4998
1.45,0.85,0.2247075,0.2629425,0.1808125,0.51765
1.5,0.85,0.234525,0.270975,0.1808125,0.5355
1.55,0.85,0.2443425,0.2790075,0.1808125,0.55335
1.6,0.85,0.25416,0.28704,0.1808125,0.5712
1.65,0.85,0.2639775,0.2950725,0.1808125,0.58905
1.7,0.85,0.273795,0.303105,0.1808125,0.6069
1.05,0.9,0.142225,0.202625,0.192625,0.37485
1.1,0.9,0.155985,0.206715,0.192625,0.3927
1.15,0.9,0.1658025,0.2147475,0.192625,0.41055
1.2,0.9,0.17562,0.22278,0.192625,0.4284
1.25,0.9,0.1854375,0.2308125,0.192625,0.44625
1.3,0.9,0.195255,0.238845,0.192625,0.4641
1.35,0.9,0.2050725,0.2468775,0.192625,0.48195
1.4,0.9,0.21489,0.25491,0.192625,0.4998
1.45,0.9,0.2247075,0.2629425,0.192625,0.51765
1.5,0.9,0.234525,0.270975,0.192625,0.5355
1.55,0.9,0.2443425,0.2790075,0.192625,0.55335
1.6,0.9,0.25416,0.28704,0.192625,0.5712
1.65,0.9,0.2639775,0.2950725,0.192625,0.58905
1.7,0.9,0.273795,0.303105,0.192625,0.6069
